x	y	label	showSelected1	showSelected2	group
2.5	1	IC_Form.district.leadership.team..DLT....see.Bluep...	IC_Form.district.leadership.team..DLT....see.Bluep...	IC_Form.district.leadership.team..DLT....see.Bluep...	12
2.5	1	IC_Designate.district.level.contact.person.	IC_Designate.district.level.contact.person.	IC_Form.district.leadership.team..DLT....see.Bluep...	31
2.5	1	IC_Designate.building.level.contact.person..for.ea...	IC_Designate.building.level.contact.person..for.ea...	IC_Form.district.leadership.team..DLT....see.Bluep...	50
2.5	1	IC_Develop.protocol.for.maintaining.ongoing.commun...	IC_Develop.protocol.for.maintaining.ongoing.commun...	IC_Form.district.leadership.team..DLT....see.Bluep...	69
2.5	1	IC_Develop.a.district.wide.plan.for.consistent.and...	IC_Develop.a.district.wide.plan.for.consistent.and...	IC_Form.district.leadership.team..DLT....see.Bluep...	88
2.5	1	IC_Identify.a.process.for.monitoring.progress.of.t...	IC_Identify.a.process.for.monitoring.progress.of.t...	IC_Form.district.leadership.team..DLT....see.Bluep...	107
2.5	1	IC_Administer.Self.Assessment.Practice.Profile.at....	IC_Administer.Self.Assessment.Practice.Profile.at....	IC_Form.district.leadership.team..DLT....see.Bluep...	126
2.5	1	IC_Administer.implementation.survey..e.g..Collabor...	IC_Administer.implementation.survey..e.g..Collabor...	IC_Form.district.leadership.team..DLT....see.Bluep...	145
2.5	1	IC_Use.technology.to.increase.the.quality.and.time...	IC_Use.technology.to.increase.the.quality.and.time...	IC_Form.district.leadership.team..DLT....see.Bluep...	164
2.5	1	IC_Participate.in.regional..cadre..and.state.event...	IC_Participate.in.regional..cadre..and.state.event...	IC_Form.district.leadership.team..DLT....see.Bluep...	183
2.5	1	IC_Support.the.use.of.data..e.g..SAPP..CWIS..to.in...	IC_Support.the.use.of.data..e.g..SAPP..CWIS..to.in...	IC_Form.district.leadership.team..DLT....see.Bluep...	202
2.5	1	IC_Develop.and.implement.protocol.for.conducting.w...	IC_Develop.and.implement.protocol.for.conducting.w...	IC_Form.district.leadership.team..DLT....see.Bluep...	221
2.5	1	IC_Annually..summarize.district.wide.fidelity.and....	IC_Annually..summarize.district.wide.fidelity.and....	IC_Form.district.leadership.team..DLT....see.Bluep...	240
2.5	1	IC_Establish.district..and.building.level.goal.s.....	IC_Establish.district..and.building.level.goal.s.....	IC_Form.district.leadership.team..DLT....see.Bluep...	259
2.5	1	IC_Revisit.and.revise.PD.plans.based.on.data.	IC_Revisit.and.revise.PD.plans.based.on.data.	IC_Form.district.leadership.team..DLT....see.Bluep...	278
2.5	1	IC_Develop.timelines.and.expectations.aligning.imp...	IC_Develop.timelines.and.expectations.aligning.imp...	IC_Form.district.leadership.team..DLT....see.Bluep...	297
2.5	1	IC_Align.implementation.goals.with.CSIP..Comprehen...	IC_Align.implementation.goals.with.CSIP..Comprehen...	IC_Form.district.leadership.team..DLT....see.Bluep...	316
5	1	IC_Teacher_leader_growth_mindset_In_Place	IC_Teacher_leader_growth_mindset_In_Place	IC_Form.district.leadership.team..DLT....see.Bluep...	335
8.5	1	IC_Total_amount_in_place	IC_Total_amount_in_place	IC_Form.district.leadership.team..DLT....see.Bluep...	354
2.5	1	IC_Form.district.leadership.team..DLT....see.Bluep...	IC_Form.district.leadership.team..DLT....see.Bluep...	IC_Designate.district.level.contact.person.	6
2.5	1	IC_Designate.district.level.contact.person.	IC_Designate.district.level.contact.person.	IC_Designate.district.level.contact.person.	25
2.5	1	IC_Designate.building.level.contact.person..for.ea...	IC_Designate.building.level.contact.person..for.ea...	IC_Designate.district.level.contact.person.	44
2.5	1	IC_Develop.protocol.for.maintaining.ongoing.commun...	IC_Develop.protocol.for.maintaining.ongoing.commun...	IC_Designate.district.level.contact.person.	63
2.5	1	IC_Develop.a.district.wide.plan.for.consistent.and...	IC_Develop.a.district.wide.plan.for.consistent.and...	IC_Designate.district.level.contact.person.	82
2.5	1	IC_Identify.a.process.for.monitoring.progress.of.t...	IC_Identify.a.process.for.monitoring.progress.of.t...	IC_Designate.district.level.contact.person.	101
2.5	1	IC_Administer.Self.Assessment.Practice.Profile.at....	IC_Administer.Self.Assessment.Practice.Profile.at....	IC_Designate.district.level.contact.person.	120
2.5	1	IC_Administer.implementation.survey..e.g..Collabor...	IC_Administer.implementation.survey..e.g..Collabor...	IC_Designate.district.level.contact.person.	139
