group	y
1	0.0146520146520147
2	0.0146520146520147
3	0.0146520146520147
4	0.0146520146520147
5	0.0146520146520147
6	0.0146520146520147
7	0.0146520146520147
8	0.0146520146520147
9	0.0146520146520147
10	0.0146520146520147
11	0.0146520146520147
12	0.0146520146520147
13	0.0146520146520147
14	0.0146520146520147
15	0.0146520146520147
16	0.0146520146520147
17	0.0146520146520147
18	0.0146520146520147
19	0.0146520146520147
20	0.0146520146520147
21	0.0146520146520147
22	0.0146520146520147
23	0.0146520146520147
24	0.0146520146520147
25	0.0146520146520147
26	0.0146520146520147
27	0.0146520146520147
28	0.0146520146520147
29	0.0146520146520147
30	0.0146520146520147
31	0.0146520146520147
32	0.0146520146520147
33	0.0146520146520147
34	0.0146520146520147
35	0.0146520146520147
36	0.0146520146520147
37	0.0146520146520147
38	0.0146520146520147
39	0.0146520146520147
40	0.0146520146520147
41	0.0146520146520147
42	0.0146520146520147
43	0.0146520146520147
44	0.0146520146520147
45	0.0146520146520147
46	0.0146520146520147
47	0.0146520146520147
