group	y
1	2.66666666666667
2	2.66666666666667
3	2.66666666666667
4	2.66666666666667
5	2.66666666666667
6	2.66666666666667
7	2.66666666666667
8	2.66666666666667
9	2.66666666666667
10	2.66666666666667
11	2.66666666666667
12	2.66666666666667
13	2.66666666666667
14	2.66666666666667
15	2.66666666666667
16	2.66666666666667
17	2.66666666666667
18	2.66666666666667
19	2.66666666666667
20	2.66666666666667
21	2.66666666666667
22	2.66666666666667
23	2.66666666666667
24	2.66666666666667
25	2.66666666666667
26	2.66666666666667
27	2.66666666666667
28	2.66666666666667
29	2.66666666666667
30	2.66666666666667
31	2.66666666666667
32	2.66666666666667
33	2.66666666666667
34	2.66666666666667
35	2.66666666666667
36	2.66666666666667
37	2.66666666666667
38	2.66666666666667
39	2.66666666666667
40	2.66666666666667
41	2.66666666666667
42	2.66666666666667
43	2.66666666666667
44	2.66666666666667
45	2.66666666666667
46	2.66666666666667
47	2.66666666666667
