x	y	label	clickSelects	showSelected1	group
2	-12.3	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Form.district.leadership.team..DLT....see.Bluep...	1
2	-14.3	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Designate.district.level.contact.person.	2
2	-12.3	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Develop.a.district.wide.plan.for.consistent.and...	3
2	-1.3	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	4
2	-10.3	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Use.technology.to.increase.the.quality.and.time...	5
2	-10.3	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Support.the.use.of.data..e.g..SAPP..CWIS..to.in...	6
2	-13.3	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Develop.and.implement.protocol.for.conducting.w...	7
2	-13.3	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Annually..summarize.district.wide.fidelity.and....	8
2	-13.3	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Develop.timelines.and.expectations.aligning.imp...	9
2	-16.3	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Align.implementation.goals.with.CSIP..Comprehen...	10
2	-10.3	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Teacher_leader_growth_mindset_In_Place	11
2	-10.3	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Total_amount_in_place	12
2	-18.3	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	CFA_avg	13
2	-14.3	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	ETLP_avg	14
2	-23.3	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	DBDM_avg	15
2	-16.3	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	PD_avg	16
2	-15.3	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Leadership_avg	17
2	-23.3	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Total.Students..All.Grades..Excludes.AE...Public.School..mean	18
2	-22.3	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Total.Students..All.Grades..Excludes.AE...Public.School..sd	19
